description,category
Purchased train tickets for the weekend,Travel
Ordered gaming accessories online,Electronics
Manicure at local nail salon,Personal_Care
Oil change service,Auto
Purchased skincare products from Sephora,Personal_Care
Prescription medicine from Rite Aid,Medical
Purchased snacks at Costco,Food
Toy purchase from Toys 'R' Us,Baby
Pet food purchase from PetSmart,Pets
Purchased skincare products from Sephora,Personal_Care
Bought kitchen appliances on Amazon,Home
Booked a flight to New York,Travel
Purchased train tickets for the weekend,Travel
Bought a camera lens on Amazon,Electronics
Tablet purchase at Samsung store,Electronics
Summer clothes shopping at H&M,Clothes
New handbag from Coach,Clothes
Booked a travel tour package,Travel
Bought a first-aid kit,Medical
Pet food purchase from PetSmart,Pets
Lunch delivery from DoorDash,Food
Yard tools purchase at Home Depot,Home
Massage therapy session,Personal_Care
Fast food order at McDonald's,Food
Doctor's consultation fee,Medical
Grooming session for dog,Pets
Disney+ subscription payment,Subscriptions_Memberships
Bought multivitamins from GNC,Personal_Care
Filled up gas at Chevron,Auto
Watched a movie on Netflix,Entertainment
Booked a travel tour package,Travel
Amazon Prime membership renewal,Subscriptions_Memberships
Car rental from Hertz,Travel
Bought concert tickets,Entertainment
Watched a movie on Netflix,Entertainment
Tablet purchase at Samsung store,Electronics
Bought a new phone from Apple,Electronics
Spotify Premium subscription,Subscriptions_Memberships
Ordered a backpack for school,Kids
Haircut at Supercuts,Personal_Care
Tablet purchase at Samsung store,Electronics
Disney+ subscription payment,Subscriptions_Memberships
Bought a new leash for my pet,Pets
Purchased snacks at Costco,Food
Car maintenance at AutoZone,Auto
Bought a camera lens on Amazon,Electronics
Hotel reservation at Hilton,Travel
Home security system installation,Home
Sports equipment purchase from Dick's,Entertainment
Bought crayons and coloring books,Kids
Baby formula from Target,Baby
Prescription medicine from Rite Aid,Medical
Bought diapers from Walmart,Baby
Bought kids toys from Toys 'R' Us,Kids
Furniture shopping at IKEA,Home
Netflix subscription payment,Subscriptions_Memberships
Oil change service,Auto
Bought multivitamins from GNC,Personal_Care
Baby clothes from Carter's,Baby
Health insurance premium payment,Medical
Purchased a kids bicycle,Kids
Grocery shopping at Kroger,Food
Furniture shopping at IKEA,Home
Bought a first-aid kit,Medical
Oil change service,Auto
Furniture shopping at IKEA,Home
Prescription medicine from Rite Aid,Medical
Purchased train tickets for the weekend,Travel
Dinner at Olive Garden,Food
Tablet purchase at Samsung store,Electronics
Purchased car upgrades online,Auto
Craft supplies from Michaels,Entertainment
Bought crayons and coloring books,Kids
Home security system installation,Home
Bought shoes from Nike store,Clothes
Yard tools purchase at Home Depot,Home
Purchased a new book on Kindle,Entertainment
Purchased a new book on Kindle,Entertainment
Grooming session for dog,Pets
Prescription medicine from Rite Aid,Medical
Manicure at local nail salon,Personal_Care
Purchased a TV from Best Buy,Electronics
Jewelry purchase at Kay Jewelers,Clothes
Toy purchase from Toys 'R' Us,Baby
Purchased snacks at Costco,Food
Bought a first-aid kit,Medical
Craft supplies from Michaels,Entertainment
Lunch delivery from DoorDash,Food
